epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,143.505,3.21379,3.3781,0.00694,0.03813,0.1279,0.03555,0.01388,2.68927,2.61372,0.00691,0.000499382,0.000499382,0.0672073
2,285.933,2.5181,2.47557,0.00484,0.33817,0.12963,0.07271,0.0333,2.28033,2.11165,0.00557,0.000908721,0.000908721,0.0342833
3,422.183,2.28773,2.20294,0.00428,0.24434,0.13935,0.08307,0.03897,2.31155,2.04405,0.00544,0.00100726,0.00100726,0.00104846
4,561.681,2.15312,2.0298,0.00395,0.31157,0.17445,0.11593,0.05662,2.05586,1.84787,0.00477,0.000567325,0.000567325,0.000567325
5,700.677,2.0705,1.93158,0.00374,0.21984,0.19688,0.13774,0.06751,1.98908,1.73372,0.00472,0.000211075,0.000211075,0.000211075
