epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.8931,3.16811,3.4011,0.00692,0.86968,0.0226,0.02007,0.00832,2.92958,3.08289,0.00747,0.000499382,0.000499382,0.0672073
2,191.023,2.51844,2.50107,0.00493,0.42046,0.12547,0.07435,0.03316,2.2852,2.15244,0.00561,0.000908721,0.000908721,0.0342833
3,286.942,2.29215,2.21383,0.00433,0.25298,0.15843,0.09049,0.0421,2.25428,2.08522,0.00547,0.00100726,0.00100726,0.00104846
4,379.102,2.15593,2.03547,0.00398,0.39552,0.17217,0.11382,0.05498,2.078,1.85098,0.00487,0.000567325,0.000567325,0.000567325
5,471.099,2.06996,1.93419,0.00376,0.3241,0.19332,0.13873,0.06881,1.96964,1.73469,0.00466,0.000211075,0.000211075,0.000211075
