epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,111.967,3.08244,3.3117,1.75524,0.04721,0.15863,0.0446,0.01946,2.42884,2.4831,1.41617,0.000499382,0.000499382,0.0672073
2,220.512,2.31461,2.4078,1.34043,0.20443,0.13605,0.07239,0.03391,2.16086,2.14808,1.3206,0.000908721,0.000908721,0.0342833
3,326.368,2.12332,2.15326,1.26197,0.23678,0.12854,0.07218,0.03485,2.29785,2.13977,1.29076,0.00100726,0.00100726,0.00104846
4,427.508,2.00397,1.98569,1.21448,0.29209,0.18272,0.12324,0.06289,1.91752,1.7956,1.20136,0.000567325,0.000567325,0.000567325
5,528.286,1.92852,1.88954,1.18697,0.22736,0.20232,0.14088,0.07206,1.86841,1.72163,1.19084,0.000211075,0.000211075,0.000211075
