epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,104.101,3.19018,3.41125,0.00696,0.86306,0.0212,0.01772,0.0065,3.14505,3.21415,0.00799,0.000499382,0.000499382,0.0672073
2,207.56,2.54238,2.5016,0.00495,0.41387,0.12769,0.06332,0.0274,2.29814,2.12359,0.00568,0.000908721,0.000908721,0.0342833
3,307.481,2.31977,2.22285,0.00436,0.34134,0.13,0.07685,0.03678,2.33412,2.09473,0.00554,0.00100726,0.00100726,0.00104846
4,406.839,2.18588,2.04468,0.00401,0.36451,0.16615,0.10821,0.05144,2.1037,1.86945,0.00491,0.000567325,0.000567325,0.000567325
5,503.677,2.10623,1.94402,0.00381,0.35211,0.18871,0.13025,0.06425,2.01211,1.74597,0.00471,0.000211075,0.000211075,0.000211075
