epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,116.07,3.04921,3.28164,1.76735,0.04849,0.14721,0.04215,0.01845,2.44009,2.58036,1.42489,0.000499382,0.000499382,0.0672073
2,229.69,2.32752,2.45199,1.35032,0.3265,0.13492,0.07912,0.03688,2.13176,2.08287,1.30707,0.000908721,0.000908721,0.0342833
3,341.454,2.13859,2.20455,1.26515,0.16048,0.15097,0.09505,0.04648,2.06888,1.9625,1.23282,0.00100726,0.00100726,0.00104846
4,454.081,2.02604,2.04033,1.21721,0.36332,0.17045,0.1092,0.05613,1.95175,1.89336,1.20117,0.000567325,0.000567325,0.000567325
5,565.61,1.9541,1.94934,1.1901,0.20762,0.19079,0.13405,0.06959,1.86103,1.75206,1.17916,0.000211075,0.000211075,0.000211075
