epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,116.101,3.08343,3.33722,1.76697,0.73285,0.02627,0.02591,0.01233,2.62522,3.11996,1.40234,0.000499382,0.000499382,0.0672073
2,223.155,2.33075,2.4182,1.35176,0.43855,0.12017,0.07793,0.03597,2.16982,2.08826,1.34248,0.000908721,0.000908721,0.0342833
3,326.205,2.13642,2.16386,1.26944,0.17402,0.14987,0.09361,0.04608,2.06882,1.9401,1.24338,0.00100726,0.00100726,0.00104846
4,429.221,2.0175,2.00117,1.2207,0.39778,0.16765,0.11136,0.05584,1.95834,1.86785,1.22812,0.000567325,0.000567325,0.000567325
5,531.032,1.94497,1.91319,1.19272,0.2291,0.19711,0.13824,0.07221,1.86942,1.72906,1.19033,0.000211075,0.000211075,0.000211075
