epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.643,3.16545,3.39971,0.00692,0.87678,0.01946,0.01615,0.00634,2.9939,3.32944,0.00783,0.000499382,0.000499382,0.0672073
2,198.687,2.51857,2.50006,0.00492,0.4214,0.1234,0.07025,0.03056,2.32953,2.21332,0.00591,0.000908721,0.000908721,0.0342833
3,293.065,2.29012,2.21171,0.00431,0.25427,0.15488,0.09838,0.04805,2.21951,1.96828,0.00534,0.00100726,0.00100726,0.00104846
4,386.96,2.1552,2.034,0.00397,0.38063,0.17727,0.11095,0.05359,2.05393,1.87037,0.00484,0.000567325,0.000567325,0.000567325
5,479.799,2.07167,1.93592,0.00376,0.31599,0.19501,0.13628,0.06788,1.98722,1.75074,0.00473,0.000211075,0.000211075,0.000211075
