epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,186.333,3.22338,3.41404,0.00696,0.26853,0.09017,0.03863,0.01642,2.61541,2.54313,0.00691,0.000499382,0.000499382,0.0672073
2,373.018,2.56288,2.49139,0.00493,0.33341,0.1307,0.07454,0.03367,2.28128,2.09291,0.00566,0.000908721,0.000908721,0.0342833
3,558.955,2.33821,2.2156,0.00435,0.33762,0.13571,0.08461,0.03904,2.19519,1.99485,0.00543,0.00100726,0.00100726,0.00104846
4,742.708,2.20909,2.046,0.00402,0.46867,0.1623,0.11176,0.05337,2.07422,1.85062,0.00485,0.000567325,0.000567325,0.000567325
5,921.465,2.12708,1.95257,0.0038,0.40792,0.18666,0.13634,0.06824,1.9767,1.74349,0.00463,0.000211075,0.000211075,0.000211075
