epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,104.817,3.2164,3.63781,0.00699,0.02815,0.10525,0.02568,0.00989,2.99071,3.10316,0.00754,0.000499382,0.000499382,0.0672073
2,209.448,2.51472,2.67511,0.00488,0.43793,0.12452,0.07538,0.03322,2.28951,2.27464,0.00579,0.000908721,0.000908721,0.0342833
3,313.878,2.28322,2.37628,0.00429,0.36466,0.16024,0.10343,0.04819,2.17202,2.07835,0.0052,0.00100726,0.00100726,0.00104846
4,417.529,2.14649,2.18736,0.00395,0.41512,0.17362,0.12342,0.06009,2.01124,1.94686,0.00472,0.000567325,0.000567325,0.000567325
5,520.558,2.06291,2.07954,0.00373,0.32371,0.20699,0.14166,0.06938,1.96048,1.85746,0.00462,0.000211075,0.000211075,0.000211075
