epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.43,3.14787,3.27975,1.78175,0.03127,0.11125,0.0258,0.01179,2.77226,2.85679,1.42022,0.000499382,0.000499382,0.0672073
2,212.316,2.36587,2.39102,1.35038,0.34765,0.13948,0.08209,0.03947,2.13724,2.02884,1.2881,0.000908721,0.000908721,0.0342833
3,316.013,2.16737,2.13594,1.2681,0.32767,0.14586,0.08235,0.04001,2.23865,2.06801,1.27724,0.00100726,0.00100726,0.00104846
4,419.379,2.05233,1.97091,1.22197,0.39707,0.17317,0.12106,0.06078,1.9791,1.81584,1.20406,0.000567325,0.000567325,0.000567325
5,523.488,1.97638,1.87986,1.19385,0.33133,0.20343,0.14484,0.07465,1.89483,1.6985,1.17988,0.000211075,0.000211075,0.000211075
