epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,150.764,3.17103,3.38836,0.00692,0.03516,0.14551,0.03789,0.01547,2.6219,2.5291,0.00707,0.000499382,0.000499382,0.0672073
2,299.213,2.52531,2.50068,0.00493,0.42229,0.15145,0.06684,0.03065,2.31188,2.23996,0.00578,0.000908721,0.000908721,0.0342833
3,444.39,2.30021,2.2249,0.00434,0.31918,0.13896,0.0704,0.03255,2.34537,2.15888,0.00563,0.00100726,0.00100726,0.00104846
4,588.132,2.17173,2.04637,0.00401,0.46036,0.15863,0.10548,0.05077,2.11829,1.86164,0.005,0.000567325,0.000567325,0.000567325
5,731.056,2.08758,1.94773,0.0038,0.3167,0.19109,0.13075,0.06493,2.00046,1.76255,0.0048,0.000211075,0.000211075,0.000211075
