epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.512,3.24226,3.34979,0.00688,0.03705,0.15192,0.04067,0.01615,2.67892,2.5065,0.00687,0.000499382,0.000499382,0.0672073
2,209.242,2.56503,2.46716,0.00487,0.41903,0.13605,0.07678,0.03391,2.34727,2.14362,0.00586,0.000908721,0.000908721,0.0342833
3,308.731,2.34546,2.20238,0.00433,0.2684,0.15017,0.09958,0.04814,2.25036,1.9887,0.00531,0.00100726,0.00100726,0.00104846
4,409.738,2.21053,2.02599,0.004,0.39514,0.17297,0.11556,0.05669,2.08408,1.8404,0.00478,0.000567325,0.000567325,0.000567325
5,509.197,2.12651,1.92842,0.00379,0.31646,0.19599,0.13785,0.06953,2.00619,1.73357,0.0046,0.000211075,0.000211075,0.000211075
