epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,117.209,3.07377,3.31297,1.75572,0.03972,0.14178,0.03855,0.01736,2.41751,2.64389,1.42906,0.000499382,0.000499382,0.0672073
2,230.774,2.34905,2.46288,1.34676,0.31965,0.1494,0.07815,0.03681,2.1471,2.10368,1.28941,0.000908721,0.000908721,0.0342833
3,342.488,2.15445,2.21272,1.26464,0.35504,0.15412,0.09372,0.04522,2.08563,1.97381,1.22742,0.00100726,0.00100726,0.00104846
4,453.648,2.0399,2.05207,1.21784,0.38295,0.17383,0.11327,0.0579,1.95039,1.8835,1.19541,0.000567325,0.000567325,0.000567325
5,564.925,1.96872,1.96508,1.19117,0.40081,0.18963,0.13444,0.06999,1.87042,1.76028,1.17591,0.000211075,0.000211075,0.000211075
