epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.8088,3.18526,3.40187,0.00696,0.03592,0.14541,0.03856,0.01607,2.67553,2.54301,0.00686,0.000499382,0.000499382,0.0672073
2,193.073,2.51729,2.48416,0.00493,0.42444,0.12071,0.06984,0.03184,2.29361,2.16883,0.00585,0.000908721,0.000908721,0.0342833
3,287.836,2.29397,2.21262,0.00434,0.35683,0.13243,0.08821,0.04217,2.26869,1.99557,0.00548,0.00100726,0.00100726,0.00104846
4,381.842,2.16348,2.04045,0.004,0.39533,0.16205,0.11217,0.05542,2.06866,1.87548,0.00489,0.000567325,0.000567325,0.000567325
5,475.603,2.08203,1.94265,0.00379,0.30663,0.19389,0.13277,0.06672,1.99979,1.76187,0.00476,0.000211075,0.000211075,0.000211075
