epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,107.465,3.20683,3.45021,0.00696,0.62419,0.0182,0.01317,0.00436,3.31939,3.45021,0.0085,0.000499382,0.000499382,0.0672073
2,202.241,2.54267,2.51891,0.00497,0.44786,0.11986,0.07469,0.03347,2.32495,2.18992,0.00589,0.000908721,0.000908721,0.0342833
3,296.549,2.31594,2.23634,0.00438,0.23637,0.16193,0.09403,0.04359,2.21688,1.98656,0.00531,0.00100726,0.00100726,0.00104846
4,389.582,2.17761,2.05825,0.00403,0.29429,0.16697,0.11117,0.05388,2.08882,1.85367,0.0049,0.000567325,0.000567325,0.000567325
5,481.851,2.09534,1.96028,0.00382,0.31878,0.19128,0.13417,0.06721,1.99193,1.75416,0.00471,0.000211075,0.000211075,0.000211075
