epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.475,3.21617,3.61456,0.00697,0.50013,0.04005,0.0306,0.01328,2.84242,2.98729,0.00708,0.000499382,0.000499382,0.0672073
2,210.346,2.53603,2.64937,0.00492,0.23757,0.14046,0.0748,0.03308,2.30519,2.29613,0.00568,0.000908721,0.000908721,0.0342833
3,312.529,2.29518,2.28502,0.00431,0.26936,0.14195,0.09193,0.04405,2.20923,2.16425,0.00522,0.00100726,0.00100726,0.00104846
4,416.238,2.15392,2.04294,0.00396,0.27061,0.17686,0.11465,0.05524,2.04705,1.9691,0.00479,0.000567325,0.000567325,0.000567325
5,519.699,2.0701,1.92267,0.00375,0.31573,0.19726,0.13644,0.06699,1.98168,1.86947,0.00468,0.000211075,0.000211075,0.000211075
