epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,111.903,3.2365,3.37923,0.00703,0.03474,0.12701,0.03072,0.01158,2.79097,2.7337,0.00737,0.000499382,0.000499382,0.0672073
2,220.413,2.53538,2.49217,0.00492,0.41254,0.11851,0.06186,0.02792,2.37602,2.23057,0.00615,0.000908721,0.000908721,0.0342833
3,325.202,2.30302,2.21895,0.00433,0.35543,0.1283,0.08241,0.03935,2.30832,2.08866,0.00545,0.00100726,0.00100726,0.00104846
4,431.15,2.16476,2.03978,0.00398,0.29369,0.16149,0.11395,0.05534,2.08809,1.85771,0.0049,0.000567325,0.000567325,0.000567325
5,536.833,2.08231,1.94177,0.00378,0.23296,0.19345,0.13668,0.06793,1.99745,1.76125,0.00476,0.000211075,0.000211075,0.000211075
