epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.968,3.06387,3.32456,1.75902,0.04406,0.15073,0.04053,0.01808,2.44838,2.63238,1.43767,0.000499382,0.000499382,0.0672073
2,214.796,2.32457,2.41766,1.34893,0.35968,0.13037,0.08171,0.039,2.11585,2.04559,1.28027,0.000908721,0.000908721,0.0342833
3,318.471,2.12453,2.15637,1.26394,0.36131,0.13574,0.08267,0.04161,2.11598,2.01604,1.24842,0.00100726,0.00100726,0.00104846
4,419.926,2.00661,1.99002,1.2161,0.411,0.17939,0.12341,0.0621,1.93773,1.81342,1.19565,0.000567325,0.000567325,0.000567325
5,520.599,1.93049,1.89308,1.18816,0.21625,0.19967,0.14544,0.07511,1.87329,1.71996,1.18859,0.000211075,0.000211075,0.000211075
