epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.1001,3.20504,3.33564,0.007,0.03541,0.16314,0.03722,0.01346,2.78762,2.68047,0.0073,0.000499382,0.000499382,0.0672073
2,196.916,2.53278,2.49158,0.00493,0.31761,0.13157,0.06903,0.03007,2.32913,2.13658,0.00583,0.000908721,0.000908721,0.0342833
3,293.858,2.30283,2.21493,0.00435,0.25922,0.14478,0.09174,0.04265,2.20475,2.00265,0.00535,0.00100726,0.00100726,0.00104846
4,388.52,2.16707,2.03933,0.004,0.42615,0.16201,0.11654,0.05494,2.0964,1.85724,0.00496,0.000567325,0.000567325,0.000567325
5,482.802,2.0815,1.94099,0.00379,0.20789,0.19505,0.13496,0.0662,1.98675,1.752,0.00468,0.000211075,0.000211075,0.000211075
