epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.121,3.09683,3.27739,1.77144,0.04351,0.1776,0.04107,0.0189,2.50714,2.5698,1.41587,0.000499382,0.000499382,0.0672073
2,219.75,2.34867,2.40386,1.34842,0.25615,0.13713,0.07225,0.03349,2.25983,2.19409,1.34313,0.000908721,0.000908721,0.0342833
3,329.084,2.14644,2.15739,1.2643,0.3346,0.14612,0.08367,0.0402,2.16873,2.02456,1.28069,0.00100726,0.00100726,0.00104846
4,433.226,2.02759,1.98758,1.21642,0.40031,0.17331,0.11592,0.05886,1.96509,1.80186,1.2047,0.000567325,0.000567325,0.000567325
5,540.074,1.95359,1.89407,1.18903,0.22879,0.20567,0.14123,0.07314,1.88366,1.70704,1.18319,0.000211075,0.000211075,0.000211075
