epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,107.017,3.33228,3.36826,0.00672,0.68918,0.02692,0.02623,0.01015,3.01108,3.08325,0.00739,0.000499382,0.000499382,0.0672073
2,207.76,2.64099,2.49227,0.00484,0.32935,0.12749,0.07157,0.03243,2.40122,2.1975,0.00579,0.000908721,0.000908721,0.0342833
3,306.877,2.40857,2.22554,0.00429,0.27836,0.15037,0.09599,0.0446,2.3115,2.01659,0.00531,0.00100726,0.00100726,0.00104846
4,405.223,2.26608,2.05472,0.00397,0.38281,0.16309,0.11609,0.05491,2.13304,1.85003,0.00487,0.000567325,0.000567325,0.000567325
5,505.12,2.17855,1.9576,0.00377,0.3058,0.20126,0.13689,0.06636,2.05103,1.76784,0.00465,0.000211075,0.000211075,0.000211075
