epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.8048,3.26092,3.44415,0.0074,0.03958,0.14671,0.03259,0.01115,2.78305,2.66575,0.00764,0.000499382,0.000499382,0.0672073
2,179.294,2.58323,2.56912,0.00533,0.33619,0.11697,0.06447,0.02884,2.37719,2.23986,0.00617,0.000976148,0.000976148,0.0343507
3,266.832,2.3444,2.2812,0.00462,0.31604,0.11741,0.08384,0.03731,2.29168,2.21258,0.00569,0.00136336,0.00136336,0.00140457
4,354.864,2.21407,2.12834,0.00428,0.29512,0.147,0.09801,0.04615,2.18831,1.93654,0.00522,0.0012063,0.0012063,0.0012063
5,441.645,2.10862,1.9916,0.00399,0.40582,0.16867,0.1285,0.06338,2.05258,1.85455,0.0048,0.00100767,0.00100767,0.00100767
6,528.788,2.05265,1.89926,0.00384,0.30436,0.19009,0.13678,0.06695,2.00055,1.73604,0.00478,0.0007875,0.0007875,0.0007875
7,616.253,1.99512,1.83278,0.00369,0.34339,0.20358,0.15061,0.07616,1.94264,1.68124,0.00453,0.000567325,0.000567325,0.000567325
8,704.736,1.95489,1.77254,0.00357,0.26506,0.21226,0.16921,0.08585,1.89879,1.63564,0.0044,0.000368703,0.000368703,0.000368703
9,793.032,1.91573,1.71917,0.00347,0.27664,0.22781,0.17356,0.08831,1.88348,1.61614,0.00429,0.000211075,0.000211075,0.000211075
10,881.341,1.90029,1.69425,0.00342,0.2809,0.22744,0.17854,0.0918,1.86826,1.58493,0.00427,0.000109872,0.000109872,0.000109872
