epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.733,3.08168,3.28481,1.77104,0.7737,0.028,0.02642,0.01196,2.63446,3.07639,1.43543,0.000499382,0.000499382,0.0672073
2,215.238,2.33256,2.42589,1.34682,0.22498,0.12487,0.06433,0.03048,2.21442,2.28376,1.3393,0.000908721,0.000908721,0.0342833
3,316.371,2.12825,2.16144,1.26198,0.24395,0.13896,0.07798,0.03833,2.22225,2.06308,1.26032,0.00100726,0.00100726,0.00104846
4,416.774,2.00823,1.99076,1.2143,0.33057,0.16888,0.12044,0.06188,1.92588,1.79718,1.18995,0.000567325,0.000567325,0.000567325
5,517.054,1.93595,1.89854,1.18787,0.24109,0.19443,0.14213,0.07379,1.85149,1.70567,1.16503,0.000211075,0.000211075,0.000211075
