epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,120.353,3.06858,3.3308,1.77506,0.87837,0.02899,0.02826,0.01339,2.62346,3.14779,1.41295,0.000499382,0.000499382,0.0672073
2,230.395,2.3289,2.44997,1.34287,0.4252,0.13159,0.0782,0.03738,2.09604,2.07645,1.28408,0.000908721,0.000908721,0.0342833
3,339.787,2.13721,2.20066,1.26211,0.23319,0.14321,0.08168,0.03839,2.16146,2.09503,1.25662,0.00100726,0.00100726,0.00104846
4,448.531,2.028,2.03871,1.21739,0.36322,0.17691,0.11574,0.05843,1.93349,1.8557,1.1984,0.000567325,0.000567325,0.000567325
5,559.62,1.95436,1.94909,1.18938,0.30379,0.19881,0.1349,0.06979,1.86883,1.74147,1.17734,0.000211075,0.000211075,0.000211075
