epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.272,3.21301,3.36683,0.00693,0.03838,0.18729,0.04174,0.01705,2.63552,2.58604,0.00677,0.000499382,0.000499382,0.0672073
2,206.251,2.52695,2.48269,0.00488,0.33387,0.13185,0.06884,0.03094,2.34189,2.16167,0.00603,0.000908721,0.000908721,0.0342833
3,307.853,2.29156,2.19943,0.0043,0.36413,0.12739,0.08845,0.04245,2.2595,2.03021,0.00532,0.00100726,0.00100726,0.00104846
4,409.211,2.15412,2.01945,0.00396,0.41566,0.16761,0.11237,0.05569,2.04802,1.87558,0.00482,0.000567325,0.000567325,0.000567325
5,509.246,2.07206,1.91694,0.00375,0.3228,0.19736,0.14343,0.07134,1.97626,1.71588,0.00465,0.000211075,0.000211075,0.000211075
