epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,111.133,3.20908,3.35291,0.00691,0.03562,0.15002,0.03822,0.01506,2.66474,2.5044,0.00698,0.000499382,0.000499382,0.0672073
2,218.442,2.53092,2.48897,0.00489,0.221,0.14305,0.07245,0.03145,2.33585,2.15181,0.00582,0.000908721,0.000908721,0.0342833
3,325.34,2.295,2.2035,0.0043,0.25325,0.14751,0.09,0.04183,2.23114,2.01857,0.00529,0.00100726,0.00100726,0.00104846
4,428.523,2.16218,2.02664,0.00397,0.39615,0.16959,0.11722,0.05649,2.06,1.84202,0.00483,0.000567325,0.000567325,0.000567325
5,533.006,2.07547,1.92951,0.00376,0.33403,0.19811,0.14678,0.07279,1.97516,1.72444,0.00465,0.000211075,0.000211075,0.000211075
