epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,118.366,3.10858,3.30408,1.77696,0.03383,0.14903,0.03699,0.01713,2.56033,2.6364,1.40325,0.000499382,0.000499382,0.0672073
2,235.143,2.33384,2.41018,1.33815,0.25514,0.12592,0.07924,0.03757,2.17185,2.14143,1.30269,0.000908721,0.000908721,0.0342833
3,349.843,2.13416,2.15626,1.25747,0.24503,0.1555,0.08673,0.04371,2.08991,2.05966,1.23468,0.00100726,0.00100726,0.00104846
4,464.637,2.01976,1.98975,1.21045,0.42814,0.16919,0.12285,0.06275,1.94386,1.8095,1.19108,0.000567325,0.000567325,0.000567325
5,582.748,1.94591,1.89641,1.18246,0.33061,0.20162,0.14113,0.07292,1.8676,1.72419,1.16728,0.000211075,0.000211075,0.000211075
