epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.369,3.06845,3.30043,1.76037,0.05185,0.17582,0.04842,0.02087,2.38896,2.4527,1.41952,0.000499382,0.000499382,0.0672073
2,212.995,2.31875,2.4241,1.33406,0.35821,0.13131,0.07846,0.03758,2.16469,2.0967,1.25099,0.000908721,0.000908721,0.0342833
3,317.374,2.12272,2.171,1.25587,0.32014,0.15066,0.08543,0.04072,2.12435,2.05894,1.25483,0.00100726,0.00100726,0.00104846
4,418.799,2.01157,2.00983,1.20975,0.38862,0.17263,0.11385,0.0572,1.95423,1.82669,1.19259,0.000567325,0.000567325,0.000567325
5,520.399,1.93644,1.91634,1.18148,0.30956,0.19246,0.14275,0.07392,1.84323,1.70463,1.16466,0.000211075,0.000211075,0.000211075
