epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,124.018,3.06814,3.30944,1.76644,0.04923,0.10537,0.03696,0.01633,2.51748,2.88492,1.41308,0.000499382,0.000499382,0.0672073
2,235.343,2.32232,2.4423,1.34524,0.33897,0.13543,0.08391,0.0404,2.11977,2.04735,1.26618,0.000908721,0.000908721,0.0342833
3,345.563,2.13639,2.19785,1.26534,0.26693,0.14351,0.09487,0.04624,2.05297,1.96756,1.24423,0.00100726,0.00100726,0.00104846
4,455.842,2.02902,2.04216,1.2203,0.18324,0.17445,0.11223,0.05661,1.97014,1.86209,1.20474,0.000567325,0.000567325,0.000567325
5,565.919,1.95639,1.95388,1.19338,0.20174,0.19314,0.13407,0.06917,1.86522,1.75439,1.18482,0.000211075,0.000211075,0.000211075
