epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.314,3.19894,3.37453,0.00697,0.03228,0.12538,0.02965,0.01102,2.9284,2.75313,0.00745,0.000499382,0.000499382,0.0672073
2,217.527,2.51871,2.48331,0.00489,0.41397,0.13854,0.07942,0.03587,2.26042,2.10263,0.00558,0.000908721,0.000908721,0.0342833
3,324.073,2.28734,2.20577,0.00431,0.27235,0.14675,0.09902,0.0457,2.19916,1.95934,0.00527,0.00100726,0.00100726,0.00104846
4,426.98,2.15734,2.03289,0.00398,0.28746,0.17466,0.11758,0.05742,2.04268,1.83809,0.00476,0.000567325,0.000567325,0.000567325
5,531.825,2.07602,1.93303,0.00377,0.30872,0.19737,0.13971,0.06934,1.96099,1.73167,0.00461,0.000211075,0.000211075,0.000211075
