epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.484,3.10484,3.38987,0.007,0.41983,0.04042,0.03105,0.01253,2.66503,2.88125,0.00716,0.000499382,0.000499382,0.0672073
2,206.654,2.42898,2.50517,0.00491,0.41937,0.12466,0.07247,0.03249,2.21931,2.1693,0.00571,0.000908721,0.000908721,0.0342833
3,307.542,2.20115,2.21942,0.00432,0.25331,0.14876,0.09095,0.04322,2.1419,1.99061,0.00532,0.00100726,0.00100726,0.00104846
4,410.51,2.06792,2.04035,0.00398,0.35032,0.16996,0.11593,0.0573,1.96524,1.81919,0.00481,0.000567325,0.000567325,0.000567325
5,512.811,1.98574,1.93919,0.00377,0.31305,0.19186,0.13461,0.06704,1.91394,1.75378,0.00475,0.000211075,0.000211075,0.000211075
