epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.686,3.19794,3.35972,0.00701,0.04429,0.10037,0.02822,0.01176,2.81017,2.82289,0.00725,0.000499382,0.000499382,0.0672073
2,202.904,2.54206,2.50576,0.00496,0.35617,0.12846,0.06707,0.03001,2.29857,2.16383,0.00579,0.000908721,0.000908721,0.0342833
3,301.686,2.31235,2.24287,0.00437,0.25336,0.15386,0.08924,0.04053,2.21311,2.01281,0.00529,0.00100726,0.00100726,0.00104846
4,398.412,2.17739,2.06307,0.00402,0.35908,0.16714,0.10395,0.0501,2.06736,1.88069,0.0049,0.000567325,0.000567325,0.000567325
5,491.927,2.09487,1.96441,0.00381,0.3192,0.19422,0.1304,0.06473,2.00486,1.76961,0.00472,0.000211075,0.000211075,0.000211075
