epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,114.689,3.22026,3.36086,0.0069,0.67301,0.03413,0.03135,0.0138,2.71809,2.91499,0.00685,0.000499382,0.000499382,0.0672073
2,222.401,2.55052,2.48886,0.0049,0.51519,0.11967,0.07025,0.03118,2.33662,2.16377,0.00594,0.000908721,0.000908721,0.0342833
3,327.867,2.3228,2.22363,0.00433,0.2533,0.14084,0.0896,0.04209,2.22266,2.00648,0.00524,0.00100726,0.00100726,0.00104846
4,430.725,2.18851,2.04764,0.004,0.38997,0.16809,0.11605,0.05613,2.06703,1.83758,0.00481,0.000567325,0.000567325,0.000567325
5,533.27,2.10285,1.94936,0.00378,0.32601,0.18681,0.13954,0.06909,2.00611,1.74225,0.00472,0.000211075,0.000211075,0.000211075
