epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,111.255,3.13875,3.36914,2.13512,0.93309,0.02751,0.02319,0.00914,2.78513,3.18197,1.83088,0.000499382,0.000499382,0.0672073
2,214.839,2.4014,2.49149,1.65989,0.42895,0.11893,0.0702,0.03177,2.22542,2.16007,1.57647,0.000908721,0.000908721,0.0342833
3,316.932,2.19792,2.21178,1.54067,0.23024,0.14446,0.08437,0.04013,2.14818,2.04131,1.48831,0.00100726,0.00100726,0.00104846
4,418.498,2.07874,2.04813,1.46785,0.26077,0.16025,0.104,0.05131,2.01298,1.85534,1.40887,0.000567325,0.000567325,0.000567325
5,519.566,2.00595,1.95677,1.42636,0.31582,0.18659,0.12435,0.0619,1.91825,1.75695,1.37401,0.000211075,0.000211075,0.000211075
