epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.766,3.2391,3.71354,0.00701,0.3785,0.08277,0.03805,0.01427,2.70412,2.81863,0.00716,0.000499382,0.000499382,0.0672073
2,208.84,2.55001,2.74907,0.00495,0.42735,0.12285,0.0745,0.03296,2.3487,2.43152,0.00567,0.000908721,0.000908721,0.0342833
3,310.434,2.30913,2.43834,0.00434,0.34969,0.15384,0.09528,0.0435,2.21693,2.15718,0.00531,0.00100726,0.00100726,0.00104846
4,413.64,2.17289,2.25414,0.00401,0.45055,0.1656,0.10477,0.04929,2.11326,2.07777,0.00493,0.000567325,0.000567325,0.000567325
5,516.902,2.08403,2.14272,0.00378,0.41293,0.19932,0.13646,0.06728,1.97829,1.91133,0.00463,0.000211075,0.000211075,0.000211075
