epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.4802,3.16476,3.39788,0.00692,0.03404,0.14008,0.0328,0.0138,2.77264,2.8256,0.00709,0.000499382,0.000499382,0.0672073
2,191.535,2.51696,2.49856,0.00492,0.41553,0.12151,0.07237,0.03216,2.29864,2.11362,0.00582,0.000908721,0.000908721,0.0342833
3,287.088,2.29564,2.21782,0.00433,0.26294,0.14144,0.09348,0.04473,2.24171,1.9899,0.00537,0.00100726,0.00100726,0.00104846
4,382.264,2.16179,2.04425,0.00399,0.37008,0.16689,0.10752,0.05123,2.08543,1.87875,0.00496,0.000567325,0.000567325,0.000567325
5,476.437,2.07601,1.94224,0.00377,0.32298,0.19148,0.13678,0.06809,1.98226,1.75281,0.00469,0.000211075,0.000211075,0.000211075
