epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,117.583,3.18772,3.39597,0.00694,0.87752,0.02919,0.03053,0.01358,2.70325,2.90234,0.00697,0.000499382,0.000499382,0.0672073
2,229.852,2.52628,2.48723,0.00494,0.20513,0.13487,0.05602,0.02532,2.39092,2.33443,0.00627,0.000908721,0.000908721,0.0342833
3,340.16,2.30014,2.2173,0.00435,0.32309,0.12732,0.0706,0.03331,2.35836,2.14116,0.00557,0.00100726,0.00100726,0.00104846
4,449.471,2.16834,2.04324,0.00401,0.38777,0.15771,0.11318,0.05441,2.07166,1.84726,0.00485,0.000567325,0.000567325,0.000567325
5,561.233,2.0896,1.94628,0.0038,0.31683,0.18952,0.13715,0.06756,2.00545,1.74829,0.00477,0.000211075,0.000211075,0.000211075
